,Id,Title,Price(Triệu/tháng),Square(m²),District,City,Date,Type,ValueType,ValueDistrict
12,835964,"Cho thuê phòng trọ gần chợ Hạnh Thông Tây, đường 17, Gò Vấp, giá 3 - 5 tr/th, LH 0938700904",3.0,20.0,Gò Vấp,Hồ Chí Minh,29/09/2018,Phòng trọ,2.2158964012891964,1.9714989444053483
13,836177,"Phòng Trọ Ký Túc Xá, Ngay trung tâm quận 10 giía 450k/tháng",,40.0,Quận 10,Hồ Chí Minh,29/09/2018,KTX,1.481689296269328,2.520494469746259
14,836410,☆☆BẠN CÓ MUỐN Ở TRONG NHÀ NÀY KHÔNG? ☆NHÀ MẶT TIỀN ĐƯỜNG SỐ NGAY TRƯỜNG TRUNG CẤP CÁN BỘ ,6.0,20.0,Bình Thạnh,Hồ Chí Minh,29/09/2018,Khác,4.030355856504826,2.488339645206299
16,837646,"Chính chủ cho thuê phòng tại đường Khánh Hội, Phường 4, Quận 4, tiện nghi đầy đủ, ở ngay",4.0,20.0,Quận 4,Hồ Chí Minh,29/09/2018,Căn hộ,3.322310410225767,2.09375
17,838191,Cho thuê phòng đầy đu tiện nghi ngay ngac tư bảy hiền tân bình,5.0,30.0,Tân Bình,Hồ Chí Minh,29/09/2018,Phòng trọ,2.2158964012891964,3.20001724137931
18,838270,"Cần cho thuê phòng trọ, nhà trọ trong căn hộ chung cư PHÚ HOÀNG ANH, 4.5tr/phòng gần ĐH RmitU, TDTU",6.0,40.0,Nhà Bè,Hồ Chí Minh,29/09/2018,Căn hộ,3.322310410225767,2.0973630831643004
19,840613,"Nguyên tầng 5tr5, gồm 2 phòng, 1WC, ML, MNN, giờ tự do, Sư Vạn Hạnh",5.5,,Quận 10,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,2.520494469746259
20,840835,"Phòng ở ghép - ký túc xá cho sv, người đi làm 1tr1/ng bao điện nước gần quận 1",1.1,35.0,Bình Thạnh,Hồ Chí Minh,12/10/2018,KTX,1.481689296269328,2.488339645206299
21,840836,"Phòng ở ghép - ktx cho sinh viên, 1tr6/ng bao điện nước gần Hutech, Ngoại Thương",1.6,35.0,Bình Thạnh,Hồ Chí Minh,12/10/2018,KTX,1.481689296269328,2.488339645206299
22,840923,"Cho thuê phòng đầy đủ tiện nghi ở cư xá Nguyên Hồng, P11, Bình Thạnh",4.5,35.0,Bình Thạnh,Hồ Chí Minh,13/10/2018,Căn hộ,3.322310410225767,2.488339645206299
23,840924,"Phòng cho thuê mới, đẹp, tiện nghi gần Trường Chinh, Cộng Hòa",2.6,20.0,Tân Bình,Hồ Chí Minh,13/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
24,840925,"Phòng cho thuê mới, đẹp, tiện nghi gần ĐH Công Nghiệp, P5, Gò Vấp",4.2,30.0,Gò Vấp,Hồ Chí Minh,13/10/2018,Phòng trọ,2.2158964012891964,1.9714989444053483
25,841089,"Nhà trọ cao cấp full nội thất, sát hong chợ Bà Chiểu ",4.5,24.0,Bình Thạnh,Hồ Chí Minh,15/10/2018,Phòng trọ,2.2158964012891964,2.488339645206299
26,841185,"Nhà trọ giá rẻ đường Bùi Thị Xuân, quận Tân Bình, Hồ Chí Minh",2.5,20.0,Tân Bình,Hồ Chí Minh,15/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
28,841467,"Quận 10 đắt đỏ, chỗ nào cho thuê trọ KTX, 450 nghìn/tháng",0.45,,Quận 10,Hồ Chí Minh,30/09/2018,KTX,1.481689296269328,2.520494469746259
29,841540,"Cho thuê căn hộ dịch vụ mới xây xong view sông trung tâm Sài Gòn, giá 5,5 - 8 triệu",5.5,,Quận 7,Hồ Chí Minh,01/10/2018,Căn hộ,3.322310410225767,2.6204352741661956
30,841564,"KTX sạch , văn minh (gần KCX Tân thuận ) giá từ 450 k tại 150 Nguyễn thị thập ",0.45,25.0,Quận 7,Hồ Chí Minh,09/10/2018,KTX,1.481689296269328,2.6204352741661956
31,841574,"Phòng trọ cao cấp cho thuê gần chợ Tân Mỹ, mới 100%",3.5,25.0,Quận 7,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,2.6204352741661956
33,841698,Cho thuê phòng ktx máy lạnh 450k ở ung văn khiêm ,0.45,,Bình Thạnh,Hồ Chí Minh,01/10/2018,KTX,1.481689296269328,2.488339645206299
34,842061,"Cần tìm 1 bạn nữ hòa đồng, thân thiện, sạch sẽ ở ghép",2.3,27.0,Bình Thạnh,Hồ Chí Minh,01/10/2018,Phòng ở ghép,1.0,2.488339645206299
35,842093,"Phòng mini cho thuê, diện tích 30m2, hẻm 33/XX Quốc Hương, Phường Thảo Điền, Quận 2",5.0,30.0,Quận 2,Hồ Chí Minh,30/09/2018,Phòng trọ,2.2158964012891964,8.721003134796238
36,842639,"Cho thuê phòng MT Gò Dầu, máy lạnh, nước nóng + đủ nội thất, 25m2, có ban công",3.3,25.0,Tân Phú,Hồ Chí Minh,30/09/2018,Phòng trọ,2.2158964012891964,2.0499361430395915
37,842703,"Ký túc xá dịch vụ tại Phú Nhuận, giá bao nhiêu?",,38.0,Phú Nhuận,Hồ Chí Minh,23/10/2018,KTX,1.481689296269328,3.271339739966083
38,842926,"Phòng trọ Cách Mạng Tháng 8, Quận 3",4.0,20.0,Quận 3,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,3.0926301555104803
39,842946,"Cho thuê phòng tại Lê Đức Thọ, Gò Vấp",4.0,35.0,Gò Vấp,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,1.9714989444053483
40,843295,"Tìm sinh viên Bình Thạnh ở ghép, phòng 2 triệu/tháng, giờ tự do, ở 2 người, có vách ngăn",1.0,,Bình Thạnh,Hồ Chí Minh,01/10/2018,Phòng ở ghép,1.0,2.488339645206299
41,843505,"Penhouse 25 - 60m2 giá từ 6tr - 9tr, trung tâm Q10 mới xây, bảo vệ 24/7, giờ tự do, ban công + bếp",6.0,25.0,Quận 10,Hồ Chí Minh,30/09/2018,Khác,4.030355856504826,2.520494469746259
42,843859,"Phòng Dorm Phú Nhuận đầy đủ tiện nghi, giá 1.5tr/th bao gồm điện, nước, wifi",1.5,20.0,Phú Nhuận,Hồ Chí Minh,08/10/2018,Phòng trọ,2.2158964012891964,3.271339739966083
43,843995,"Ở ghép sinh viên và người đi làm, phòng máy lạnh, 449 nghìn/tháng",0.45,,Quận 10,Hồ Chí Minh,01/10/2018,Phòng ở ghép,1.0,2.520494469746259
44,844000,"Phòng cho thuê rộng rãi đường Huỳnh Tấn Phát, Quận 7, không chung chủ, tự do giờ giấc",3.7,20.0,Quận 7,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,2.6204352741661956
45,844351,"Phòng trọ có nội thất cho thuê đường Chu Văn An Bình Thạnh có máy lạnh inverter, giá thuê 3,5tr/th",3.5,,Bình Thạnh,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,2.488339645206299
46,844354,Cho thuê phòng trọ nam/nữ 450k/tháng Q. Tân Bình có máy lạnh - LH: 0833003838,0.45,,Tân Bình,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
47,844540,"Phòng full nội thất, 22m2, đường Sư Vạn Hạnh, Quận 10, LH: 0938721387",5.2,22.0,Quận 10,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,2.520494469746259
48,844752,"Phòng riêng đường Hậu Giang - Tân Bình giá 2,6 triệu/tháng có máy lạnh. LH: 01238239839",2.6,18.0,Tân Bình,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
49,844956,"Căn hộ cao cấp vừa mới xây ở Tôn Thất Tùng, quận 1, gần phố Tây Bùi Viện. LH 0966.089.433",7.5,25.0,Quận 1,Hồ Chí Minh,09/10/2018,Căn hộ,3.322310410225767,3.563218390804598
50,845296,"Cho thuê lầu 1 hẻm ô tô 63m2 Nguyễn Trãi, Q.1 (chính chủ)",14.0,63.0,Quận 1,Hồ Chí Minh,01/10/2018,Khác,4.030355856504826,3.563218390804598
51,845622,"Cho thuê phòng có đầy đủ nội thất số 35 đường 67, Tân Phong, 1 trệt, 1 lầu, diện tích 35m2",5.8,35.0,Quận 7,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,2.6204352741661956
52,845690,"Cần tìm 1-2 nữ ở ghép phòng 3tr/th, LH Oanh 0931450448",3.0,20.0,Bình Thạnh,Hồ Chí Minh,09/10/2018,Phòng ở ghép,1.0,2.488339645206299
53,846266,Cho thuê phòng trọ nam/nữ 450k/tháng Q. Tân Bình,0.45,,Tân Bình,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
54,846423,Cho thuê phòng full nội thất cao cấp,6.0,20.0,Quận 3,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,3.0926301555104803
55,847047,"Cho thuê phòng 3tr5 và 6tr5/th, số 80 Đinh Bộ Lĩnh, Bình Thạnh. LH: 0938785957",3.5,25.0,Bình Thạnh,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,2.488339645206299
56,847276,Phòng full NT 34m2 Nguyễn Trãi - Cống Quỳnh Q.1,5.9,34.0,Quận 1,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,3.563218390804598
57,847723,"Cho thuê phòng trọ gần chợ Hạnh Thông Tây, đường 17, Gò Vấp, giá 3tr - 5 tr/th, LH 0938700904",3.0,20.0,Gò Vấp,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,1.9714989444053483
58,847848,"Cho thuê phòng trọ khu Bàu Cát, P14, Q. Tân Bình, DT: 20 - 25m2. Giá: 5 - 5,5 triệu/tháng",5.0,25.0,Tân Bình,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
59,847935,"Cho thuê phòng thích hợp cho cán bộ nhân viên, gia đình trẻ hoặc nữ sinh. Vị trí đẹp, 0913131486",,45.0,Quận 6,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,1.6250000000000002
60,847952,"Phòng cho thuê đầy đủ tiện nghi, giờ giấc tự do, bảo vệ 24/24, Tân Bình. 2.8tr/th",2.8,20.0,Tân Bình,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
61,847953,"Cho thuê phòng 15m2 ban công, cửa sổ Nguyễn Tri Phương, Quận 10",3.5,15.0,Quận 10,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,2.520494469746259
62,848472,"Tìm 1 nữ ở ghép (Phạm Văn Đồng, Thủ Đức), mới xây, có gác, WC riêng, 1.3tr/ng/th, LH 0967262155",1.3,,Thủ Đức,Hồ Chí Minh,09/10/2018,Phòng ở ghép,1.0,1.85
63,848697,"Cho thuê căn hộ đầy đủ tiện nghi giá 5-8 triệu/tháng tại An Phú, Quận 2",5.0,55.0,Quận 2,Hồ Chí Minh,01/10/2018,Căn hộ,3.322310410225767,8.721003134796238
64,848890,"Cần cho thuê phòng, cần nữ ở ghép",6.0,20.0,Quận 1,Hồ Chí Minh,01/10/2018,Phòng ở ghép,1.0,3.563218390804598
65,849227,"Phòng cho thuê đầy đủ tiện nghi, mặt tiền đường Bình Thới, Quận 11",4.5,30.0,Quận 11,Hồ Chí Minh,19/10/2018,Phòng trọ,2.2158964012891964,1.6710875331564987
66,849273,"Cho thuê phòng trọ 20 m2 thị trấn Phú Xuân, Nhà Bè",1.6,20.0,Nhà Bè,Hồ Chí Minh,19/10/2018,Phòng trọ,2.2158964012891964,2.0973630831643004
67,849427,"Cho thuê phòng, full nội thất, giờ tự do, 25m2 giá 4tr, tân bình, gần sân bay.",4.0,25.0,Tân Bình,Hồ Chí Minh,21/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
68,849626,Phòng chung cư ngay chân cầu Bình Lợi 20m2 giá 1tr7,1.7,20.0,Bình Thạnh,Hồ Chí Minh,23/10/2018,Căn hộ,3.322310410225767,2.488339645206299
69,850715,"CHO THUÊ PHÒNG ĐƯỜNG NGUYỄN VĂN LINH - CẠNH KHU CONIC, BÌNH CHÁNH",2.1,,Bình Chánh,Hồ Chí Minh,08/10/2018,Phòng trọ,2.2158964012891964,2.056426332288401
70,850968,"Phòng rộng riêng tư, 1 xe máy, giờ tự do",2.5,24.0,Tân Bình,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
71,852393,"Phòng trọ KTX cho thuê 450nghìn/người/tháng, ở Bình Thạnh",,40.0,Bình Thạnh,Hồ Chí Minh,01/10/2018,KTX,1.481689296269328,2.488339645206299
73,852565,"Cho thuê phòng trệt có bếp, sân vườn, đầy đủ nội thất, WC riêng, bảo vệ 24/7, hẻm xe tải",5.5,25.0,Phú Nhuận,Hồ Chí Minh,01/10/2018,Phòng trọ,2.2158964012891964,3.271339739966083
74,852626,"Phòng trọ 2,6 triệu/tháng có máy lạnh 18m2 Hậu Giang - Tân Bình - 01233003838",2.6,18.0,Tân Bình,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
75,852654,Cho thuê KTX có máy lạnh 450k/tháng tại Tân Bình miễn phí 15 ngày - 01238239839,0.45,,Tân Bình,Hồ Chí Minh,02/10/2018,KTX,1.481689296269328,3.20001724137931
76,853097,"Cho thuê ký túc xá giá rẻ, sạch đẹp, tự do",45.0,,Phú Nhuận,Hồ Chí Minh,01/10/2018,KTX,1.481689296269328,3.271339739966083
77,853182,"Nhà trọ 92/10/3 Đường Bùi Tư Toàn, Bình Tân, Hồ Chí Minh",1.9,20.0,Bình Tân,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,1.5922038980509747
78,853201,Phòng trọ cao cấp khu dân cư Vĩnh Lộc,2.2,20.0,Bình Tân,Hồ Chí Minh,02/10/2018,Căn hộ,3.322310410225767,1.5922038980509747
79,853861,"Cho thuê phòng máy lạnh mới, kiểu CC mini khép kín đẹp, giá rẻ, tại 81/13 Hồ Văn Huê, P. 9, Q. PN",2.9,20.0,Phú Nhuận,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,3.271339739966083
80,854140,Cho thuê phòng trọ giá rẻ quận 2 mới 100%,3.2,20.0,Quận 2,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,8.721003134796238
81,854200,"Phòng trống ở ngay, gần ngã 3 Tân Sơn, Quang Trung, chính chủ, giá rẻ",2.5,25.0,Gò Vấp,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,1.9714989444053483
82,854429,Cần 1 bạn nam ở ghép tại 1160 Huỳnh Tấn Phát,1.25,30.0,Quận 7,Hồ Chí Minh,02/10/2018,Phòng ở ghép,1.0,2.6204352741661956
83,854908,"Phòng cho thuê liền kề quận 1, đủ tiện nghi, giá rẻ chưa từng có",6.8,38.0,Quận 3,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,3.0926301555104803
84,855022,Phòng trọ giá rẻ mt đường 530 Trường Chinh 2.7 triệu/tháng,2.7,25.0,Tân Bình,Hồ Chí Minh,23/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
85,859219,"Cho nữ thuê phòng full nội thất - có cửa sổ - trung tâm Q.1 - Gần ngay Bùi Viện 17m2, giá 4tr5/th",4.5,17.0,Quận 1,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,3.563218390804598
86,859772,"Cho thuê phòng trọ giá rẻ tại quận Bình Thạnh, cách Hutech 800m. LH 0903073825",4.5,25.0,Bình Thạnh,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,2.488339645206299
87,860165,"Phòng cao cấp cho thuê ngay vòng xoay Dân Chủ, CMT8, full nội thất, giờ giấc tự do, 0901832838",6.5,28.0,Quận 10,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,2.520494469746259
88,860737,"Cho thuê phòng ở 217 Hoàng Văn Thụ DT: 20m2 - 30m2, giá 4.5 triệu và 6 triệu phòng đẹp ngay sân bay",4.5,30.0,Phú Nhuận,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,3.271339739966083
89,860815,"Cho thuê phòng ở 5 Trương Quốc Dung, DT: 20m2 - 30m2, giá 4.5 triệu và 6 triệu, phòng đẹp, ngay SB",4.5,30.0,Phú Nhuận,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,3.271339739966083
90,860918,"Tìm 1 nữ ở ghép Bình Thạnh, giá thuê 1.25 triệu / tháng",,46.0,Bình Thạnh,Hồ Chí Minh,02/10/2018,Phòng ở ghép,1.0,2.488339645206299
91,860960,Phòng trọ cho thuê gần trung tâm thành phố. Thuận tiên đi lại.,2.5,12.0,Quận 5,Hồ Chí Minh,23/10/2018,Phòng trọ,2.2158964012891964,2.4362818590704647
92,860981,"Cho thuê phòng trọ sạch sẽ thoáng mát, an ninh quận Gò Vấp",2.0,56.0,Gò Vấp,Hồ Chí Minh,24/10/2018,Phòng trọ,2.2158964012891964,1.9714989444053483
93,861248,Phòng cao cấp dạng căn hộ mini đã trang bị đầy đủ nội thất đường Hoàng Hoa Thám,4.0,,Tân Bình,Hồ Chí Minh,02/10/2018,Căn hộ,3.322310410225767,3.20001724137931
94,861268,"Cần người ở ghép khu vực quận 7, đường Bế Văn Cấm, phường Tân Kiểng, quận 7",0.9,,Quận 7,Hồ Chí Minh,02/10/2018,Phòng ở ghép,1.0,2.6204352741661956
95,862410,Khu căn hộ mini Lunara - Lò Lu - quận 9,2.0,40.0,Quận 9,Hồ Chí Minh,03/10/2018,Căn hộ,3.322310410225767,1.7041666666666668
96,862566,"Cho thuê phòng trọ cao cấp, thị trấn Nhà Bè, huyện Nhà Bè",4.5,35.0,Nhà Bè,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,2.0973630831643004
97,862957,Trọn gói ở trọ chỉ 1tr350/1thành viên/1tháng dành cho biệt thư homestay phong cách sống hiện đại,1.35,20.0,Gò Vấp,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,1.9714989444053483
98,864352,"Cho thuê phòng trọ sinh viên, sẵn nội thất CMT8, Quận 10, ngay công viên Lê Thị Riêng",5.0,35.0,Quận 10,Hồ Chí Minh,03/10/2018,Phòng trọ,2.2158964012891964,2.520494469746259
99,864486,"Cho thuê phòng Nơ Trang Long, Bình Thạnh",3.0,15.0,Bình Thạnh,Hồ Chí Minh,03/10/2018,Phòng trọ,2.2158964012891964,2.488339645206299
100,864511,"(Phòng cửa sổ) quận 5 sát Hùng Vương Plaza, Đại học Y Dược, đại học Sư Phạm, đại học hoa Sen",4.5,25.0,Quận 5,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,2.4362818590704647
101,864573,Phòng trọ an ninh thoáng mát mặt tiền đường Tân Bình,3.5,30.0,Tân Bình,Hồ Chí Minh,03/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
102,864585,Căn hộ studio phòng cao cấp cho thuê giá 4tr/tháng. Diện tích 26 - 30m2 trung tâm q1,4.0,30.0,Quận 1,Hồ Chí Minh,03/10/2018,Căn hộ,3.322310410225767,3.563218390804598
103,864859,"Phòng đẹp, an ninh, yên tĩnh, không gian thoáng mát, chợ Hạnh Thông Tây - Gò Vấp",3.0,30.0,Gò Vấp,Hồ Chí Minh,02/10/2018,Phòng trọ,2.2158964012891964,1.9714989444053483
104,865268,"Còn 1 Phòng tiện nghi, có kệ bếp nấu ăn, ngay 3 Tháng 2 Minh Phụng",3.4,18.0,Quận 11,Hồ Chí Minh,03/10/2018,Phòng trọ,2.2158964012891964,1.6710875331564987
105,865269,"Phòng đẹp tự do máy lạnh, máy giặt, WC riêng mũi tàu Âu Cơ, Lũy Bán Bích",3.4,18.0,Tân Phú,Hồ Chí Minh,03/10/2018,Phòng trọ,2.2158964012891964,2.0499361430395915
106,865368,"Cho thuê phòng 3tr500. Đầy đủ tiện nghi, giờ tự do",3.5,16.0,Quận 5,Hồ Chí Minh,03/10/2018,Phòng trọ,2.2158964012891964,2.4362818590704647
107,866109,"Phòng đẹp, thuận tiện đi lại, có camera an ninh",3.5,25.0,Bình Thạnh,Hồ Chí Minh,03/10/2018,Phòng trọ,2.2158964012891964,2.488339645206299
108,866268,"Cho thuê phòng trọ đường Dương Quảng Hàm, quận Gò Vấp, diện tích 25m2",3.5,25.0,Gò Vấp,Hồ Chí Minh,03/10/2018,Phòng trọ,2.2158964012891964,1.9714989444053483
109,867268,"Cho thuê gấp phòng hẻm 861 đường Trần Xuân Soạn, Tân Hưng, quận 7",2.8,,Quận 7,Hồ Chí Minh,03/10/2018,Phòng trọ,2.2158964012891964,2.6204352741661956
110,868429,"Phòng cho thuê phòng quận 3, Cách Mạng Tháng Tám phường 11 quận 3 ngay trung tâm",3.0,45.0,Quận 3,Hồ Chí Minh,29/10/2018,Phòng trọ,2.2158964012891964,3.0926301555104803
111,868453,"Cho 1 nam đã đi làm thuê phòng, Ở riêng chủ, phường Linh Xuân, Thủ Đức ",1.2,14.0,Thủ Đức,Hồ Chí Minh,29/10/2018,Phòng trọ,2.2158964012891964,1.85
112,869466,"Phòng ở ghép - ký túc xá cho sinh viên, người đi làm 1tr1/người bao điện nước gần quận 1",1.1,30.0,Bình Thạnh,Hồ Chí Minh,04/10/2018,KTX,1.481689296269328,2.488339645206299
113,869468,"Phòng ở ghép - ký túc xá cho sinh viên, 1tr6/người bao điện nước gần Hutech, Ngoại Thương",1.6,30.0,Bình Thạnh,Hồ Chí Minh,04/10/2018,KTX,1.481689296269328,2.488339645206299
114,869474,"Phòng ở ghép - Ký túc xá cho sinh viên, 1tr2/người bao điện nước gần ĐH Công Nghiệp",1.2,30.0,Gò Vấp,Hồ Chí Minh,04/10/2018,KTX,1.481689296269328,1.9714989444053483
115,869476,"Phòng ở ghép - Ký túc xá cho sinh viên, người đi làm 1tr/người bao điện nước gần Trường Chinh",1.0,,Tân Bình,Hồ Chí Minh,04/10/2018,KTX,1.481689296269328,3.20001724137931
116,869495,"Cho thuê phòng trọ / căn hộ studio Tân Bình: Full nội thất, đầy đủ tiện nghi",6.5,,Tân Bình,Hồ Chí Minh,05/10/2018,Căn hộ,3.322310410225767,3.20001724137931
117,869950,"Phòng cho nữ thuê phường 8, quận 3",2.8,16.0,Quận 3,Hồ Chí Minh,05/10/2018,Phòng trọ,2.2158964012891964,3.0926301555104803
118,870004,"Cho thuê căn hộ dịch vụ, phòng cao cấp hiện đại đẳng cấp sát Phú Mỹ Hưng, Quận 7",4.0,25.0,Quận 7,Hồ Chí Minh,05/10/2018,Căn hộ,3.322310410225767,2.6204352741661956
119,870177,"Cho thuê phòng trọ đẹp, rộng đường Nguyễn Duy Trinh, Quận 2, tòa nhà có thang máy. LH 0388412570",4.0,45.0,Quận 2,Hồ Chí Minh,08/10/2018,Phòng trọ,2.2158964012891964,8.721003134796238
120,870437,"Cho thuê khách sạn, cho thuê phòng đẹp sạch sẽ mặt tiền Hồ Văn Tư, Trường Thọ, Thủ Đức 0981842804",10.0,50.0,Thủ Đức,Hồ Chí Minh,08/10/2018,Phòng trọ,2.2158964012891964,1.85
121,870796,Phòng full nội thất 30m2 KDC Phước Kiển A,4.0,30.0,Quận 7,Hồ Chí Minh,09/10/2018,Phòng trọ,2.2158964012891964,2.6204352741661956
122,870867,"Phòng trọ cho thuê dạng KTX - Quận Bình Thạnh DT 45m2 - Bao điện nước, giá thuê 1.6tr/người/tháng",,45.0,Bình Thạnh,Hồ Chí Minh,09/10/2018,KTX,1.481689296269328,2.488339645206299
123,871118,"Phòng cho thuê cao cấp Bàu Cát 1 và Ngô Bệ, đối diện tòa nhà Etown 2. Tiện nghi đầy đủ, 4.5 - 5 tr",5.0,25.0,Tân Bình,Hồ Chí Minh,09/10/2018,Phòng trọ,2.2158964012891964,3.20001724137931
124,871365,"Phòng trọ mới xây, sạch đẹp, nhà VS riêng, gác lửng, (bao cáp TV, wifi) 1.800.000đ/tháng",1.8,20.0,Hóc Môn,Hồ Chí Minh,11/10/2018,Phòng trọ,2.2158964012891964,1.1954022988505748
125,872051,Phòng trọ cao cấp đường 3/2 Quận 10 bao điện nước máy lạnh máy giặt tiện nghi,,17.0,Quận 10,Hồ Chí Minh,15/10/2018,Phòng trọ,2.2158964012891964,2.520494469746259
126,872685,"Phòng trọ sạch sẽ, máy lạnh, bàn bếp, bồn rửa chén, thoáng mát",3.5,,Quận 8,Hồ Chí Minh,17/10/2018,Phòng trọ,2.2158964012891964,2.557029177718833
127,872767,CĂN HỘ DỊCH VỤ 1 PHÒNG NGỦ 35M2 - ĐẦY ĐỦ NỘI THẤT TẠI ĐƯỜNG LŨY BÁN BÍCH - 5 TRIỆU/THÁNG,5.0,35.0,Tân Phú,Hồ Chí Minh,17/10/2018,Căn hộ,3.322310410225767,2.0499361430395915
